"","firm","ticker","netIncome2015","asset2015","asset2014","stock2015","stock2014","ROAA","ROAE","Board","WOB","Sector","State","City","Country","percentWOB"
"1","Activision Blizzard, Inc.","ATVI",8.92e+08,1.5251e+10,1.4642e+10,8.068e+09,7.233e+09,5.97,11.66,9,1,"Technology","California","Santa Monica","United States",11
"2","Acuity Brands, Inc.","AYI",222100000,2429600000,2166400000,1.36e+09,1163500000,9.66,17.6,11,1,"Technology","Georgia","Atlanta","United States",9
"3","Adobe Systems Inc.","ADBE",629551000,11726472000,10785829000,7001580000,6775905000,5.59,9.14,13,2,"Technology","California","San Jose","United States",15
"4","Akamai Technologies, Inc.","AKAM",321406000,4187925000,4001546000,3120878000,2945335000,7.85,10.6,11,3,"Technology","Massachusetts","Cambridge","United States",27
"5","Amphenol Corporation","APH",763500000,7458400000,6985900000,3238500000,2907400000,10.57,24.85,9,0,"Technology","Connecticut","Wallingford","United States",0
"6","Analog Devices, Inc.","ADI",696878000,7062178000,6859690000,5072959000,4757897000,10.01,14.18,12,1,"Technology","Massachusetts","Norwood","United States",8
"7","Apple Inc.","AAPL",5.3394e+10,2.90479e+11,2.31839e+11,1.19355e+11,1.11547e+11,20.45,46.25,7,2,"Technology","California","Cupertino","United States",29
"8","Applied Materials, Inc.","AMAT",1.377e+09,1.5308e+10,1.3174e+10,7.613e+09,7.868e+09,9.67,17.79,10,1,"Technology","California","Santa Clara","United States",10
"9","Autodesk, Inc.","ADSK",81800000,4909700000,4.595e+09,2219200000,2261500000,1.72,3.65,10,3,"Technology","California","San Rafael","United States",30
"10","CA, Inc.","CA",8.46e+08,1.0973e+10,1.2016e+10,5.625e+09,5.57e+09,7.36,15.11,12,2,"Technology","New York","New York","United States",17
"12","Cisco Systems, Inc.","CSCO",8.981e+09,1.13373e+11,1.0507e+11,5.9698e+10,5.6654e+10,8.22,15.44,11,3,"Technology","California","San Jose","United States",27
"13","Citrix Systems, Inc.","CTXS",319361000,5481438000,5512007000,1973446000,2173645000,5.81,15.4,10,1,"Technology","Florida","Fort Lauderdale","United States",10
"14","Cognizant Technology Solutions Corporation","CTSH",1623600000,13065400000,1.1479e+10,9278100000,7740200000,13.23,19.08,9,1,"Technology","New Jersey","Teaneck","United States",11
"15","Corning, Inc.","GLW",1.339e+09,2.8547e+10,3.0063e+10,1.8788e+10,2.1579e+10,4.57,6.63,14,3,"Technology","New York","Corning","United States",21
"16","Electronic Arts Inc.","EA",8.75e+08,6.147e+09,5.716e+09,3.036e+09,2.422e+09,14.75,32.06,9,1,"Technology","California","Redwood City","United States",11
"17","F5 Networks, Inc.","FFIV",365014000,2312290000,2184950000,1316728000,1369310000,16.23,27.18,9,2,"Technology","Washington","Seattle","United States",22
"18","Facebook, Inc.","FB",3.669e+09,4.9407e+10,3.9966e+10,4.4218e+10,3.6096e+10,8.21,9.14,9,2,"Technology","California","Menlo Park","United States",22
"19","First Solar, Inc.","FSLR",546421000,7316331000,6720991000,5548487000,4991487000,7.79,10.37,11,1,"Technology","Arizona","Tempe","United States",9
"20","FLIR Systems, Inc.","FLIR",241686000,2406400000,2349311000,1649515000,1609773000,10.16,14.83,10,2,"Technology","Oregon","WILSONVILLE","United States",20
"21","Google, Inc.","GOOG",1.6348e+10,1.47461e+11,1.29187e+11,1.20331e+11,1.0386e+11,11.82,14.58,11,3,"Technology","California","Mountain View","United States",27
"22","Harman International Industries Inc.","HAR",342680000,5865900000,4125590000,2374613000,1792578000,6.86,16.45,10,3,"Technology","Connecticut","Stamford","United States",30
"23","Harris Corporation","HRS",3.34e+08,1.3127e+10,4.919e+09,3.397e+09,1.826e+09,3.7,12.79,12,2,"Technology","Florida","Melbourne","United States",17
"24","Hewlett-Packard Company","HPE",2.461e+09,8.127e+10,6.5071e+10,3.3535e+10,3.6776e+10,3.36,7,12,3,"Technology","California","Palo Alto","United States",25
"25","Intel Corporation","INTC",1.142e+10,1.03065e+11,9.19e+10,6.1085e+10,5.5865e+10,11.71,19.53,11,2,"Technology","California","Santa Clara","United States",18
"26","Intuit Inc.","INTU",3.65e+08,4.968e+09,5.201e+09,2.332e+09,3.078e+09,7.18,13.49,9,2,"Technology","California","Mountain View","United States",22
"27","Juniper Networks, Inc.","JNPR",633700000,8619200000,8281400000,4574400000,4919100000,7.5,13.35,10,1,"Technology","California","Sunnyvale","United States",10
"28","KLA-Tencor Corporation","KLAC",366158000,4826012000,5535846000,421439000,3669346000,7.07,17.9,11,1,"Technology","California","Milpitas","United States",9
"29","Lam Research Corporation","LRCX",655577000,9364648000,7993306000,5103144000,5029735000,7.55,12.94,11,2,"Technology","California","Fremont","United States",18
"30","Linear Technology Corporation","LLTC",520963000,1884079000,1655578000,1577927000,1331369000,29.44,35.81,7,0,"Technology","California","Milpitas","United States",0
"31","Microchip Technology Incorporated","MCHP",369009000,4780713000,4067630000,2044654000,2135461000,8.34,17.66,5,1,"Technology","Arizona","Chandler","United States",20
"32","Micron Technology, Inc.","MU",2.899e+09,2.4143e+10,2.2416e+10,1.2302e+10,1.076e+10,12.45,25.14,8,1,"Technology","Idaho","Boise","United States",12
