"Company","X2020.Rating","Total.Board","X..of.women","X..of.Women","Sector","State","City","Var.9"
"Accenture PLC",NA,13,5,"38%","Technology","","Dublin","info"
"Activision Blizzard, Inc.",NA,9,1,"11%","Technology","California","Santa Monica","info"
"Acuity Brands, Inc.",NA,11,1,"9%","Technology","Georgia","Atlanta","info"
"Adobe Systems Inc.",NA,13,2,"15%","Technology","California","San Jose","info"
"Advanced Micro Devices, Inc.",NA,11,2,"18%","Technology","California","Sunnyvale","info"
"Akamai Technologies, Inc.",NA,11,3,"27%","Technology","Massachusetts","Cambridge","info"
"Allscripts Healthcare Solutions, Inc.",NA,8,1,"13%","Technology","Illinois","Chicago","info"
"Altera Corporation",NA,9,1,"11%","Technology","California","San Jose","info"
"Ambarella Inc.",NA,7,0,"0%","Technology","California","Santa Clara","info"
"Amdocs Limited",NA,11,0,"0%","Technology","Missouri","Chesterfield","info"
"Amkor Technology, Inc.",NA,10,1,"10%","Technology","Arizona","Chandler","info"
"Amphenol Corporation",NA,9,0,"0%","Technology","Connecticut","Wallingford","info"
"AMSC",NA,6,1,"17%","Technology","Massachusetts","Devens","info"
"Analog Devices, Inc.",NA,12,1,"8%","Technology","Massachusetts","Norwood","info"
"Anixter International, Inc.",NA,12,2,"17%","Technology","Illinois","Glenview","info"
"ANSYS, Inc.",NA,10,1,"10%","Technology","Pennsylvania","Canonsburg","info"
"API Technologies Corporation",NA,5,0,"0%","Technology","Florida","Orlando","info"
"Apple Inc.",NA,7,2,"29%","Technology","California","Cupertino","info"
"Applied Materials, Inc.",NA,10,1,"10%","Technology","California","Santa Clara","info"
"Applied Micro Circuits Corporation",NA,7,0,"0%","Technology","California","Sunnyvale","info"
"ARRIS Group Inc.",NA,10,2,"20%","Technology","Georgia","Suwanee","info"
"Arrow Electronics, Inc.",NA,9,2,"22%","Technology","Colorado","Centennial","info"
"Aspen Technology",NA,6,1,"17%","Technology","Massachusetts","Bedford","info"
"Athenahealth, Inc.",NA,7,2,"29%","Technology","Massachusetts","Watertown","info"
"Atmel Corporation",NA,7,0,"0%","Technology","California","San Jose","info"
"Autodesk, Inc.",NA,10,3,"30%","Technology","California","San Rafael","info"
"Avago Technologies Limited",NA,8,1,"13%","Technology","","Singapore","info"
"Avaya Inc.",NA,9,1,"11%","Technology","California","Santa Clara","info"
"Avid Technology Inc.",NA,8,4,"50%","Technology","Massachusetts","Burlington","info"
"Avnet, Inc.",NA,10,2,"20%","Technology","Arizona","Phoenix","info"
"AVX Corporation",NA,9,0,"0%","Technology","South Carolina","Fountain Inn","info"
"Axcelis Technologies, Inc.",NA,9,2,"22%","Technology","Massachusetts","Beverly","info"
"Babcock & Wilcox Enterprises Inc",NA,7,2,"29%","Technology","North Carolina","Charlotte","info"
"Bankrate Inc",NA,8,1,"13%","Technology","New York","New York","info"
"Belden, Inc.",NA,10,1,"10%","Technology","Missouri","St. Louis","info"
"Benchmark Electronics, Inc.",NA,8,2,"25%","Technology","Texas","Angleton","info"
"Broadcom Corporation",NA,9,2,"22%","Technology","California","Irvine","info"
"BroadSoft, Inc.",NA,7,0,"0%","Technology","Maryland","Gaithersburg","info"
"Brocade Communications Systems, Inc.",NA,9,1,"11%","Technology","California","San Jose","info"
"Brooks Automation, Inc.",NA,10,2,"20%","Technology","Massachusetts","Chelmsford","info"
"CA, Inc.",NA,12,2,"17%","Technology","New York","New York","info"
"CACI International Inc.",NA,10,0,"0%","Technology","Virginia","Arlington","info"
"Cadence Design Systems, Inc.",NA,9,1,"11%","Technology","California","San Jose","info"
"CalAmp Corporation",NA,7,2,"29%","Technology","California","Oxnard","info"
"Calix, Inc.",NA,10,0,"0%","Technology","California","Petaluma","info"
"Callidus Software, Inc.",NA,7,1,"14%","Technology","California","Pleasanton","info"
"Carbonite, Inc.",NA,7,0,"0%","Technology","Massachusetts","Boston","info"
"Care.com Inc.",NA,7,2,"29%","Technology","Massachusetts","Waltham","info"
"Cavium, Inc.",NA,5,0,"0%","Technology","California","San Jose","info"
"CDW Corporation",NA,12,1,"8%","Technology","Illinois","Vernon Hills","info"
"Company","X2020.Rating","Total.Board","X..of.women","X..of.Women","Sector","State","City","Var.9"
"Cerner Corporation",NA,9,1,"11%","Technology","Missouri","North Kansas City","info"
"Ceva, Inc.",NA,7,0,"0%","Technology","California","Mountain View","info"
"Ciena Corporation",NA,9,2,"22%","Technology","Maryland","Hanover","info"
"Cisco Systems, Inc.",NA,11,3,"27%","Technology","California","San Jose","info"
"Citrix Systems, Inc.",NA,10,1,"10%","Technology","Florida","Fort Lauderdale","info"
"Cognex Corporation",NA,8,0,"0%","Technology","Massachusetts","Natick","info"
"Cognizant Technology Solutions Corporation",NA,9,1,"11%","Technology","New Jersey","Teaneck","info"
"Coherent Inc.",NA,7,1,"14%","Technology","California","Santa Clara","info"
"Cohu Inc.",NA,7,0,"0%","Technology","California","Poway","info"
"CommScope Holding Company, Inc.",NA,11,0,"0%","Technology","North Carolina","Hickory","info"
"Computer Sciences Corporation",NA,10,1,"10%","Technology","Virginia","Falls Church","info"
"Compuware Corporation",NA,11,2,"18%","Technology","Michigan","Detroit","info"
"Concurrent Technologies Corporation",NA,10,2,"20%","Technology","Pennsylvania","Johnstown","info"
"Cornerstone OnDemand, Inc.",NA,7,1,"14%","Technology","California","Santa Monica","info"
"Corning, Inc.",NA,14,3,"21%","Technology","New York","Corning","info"
"Cree, Inc.",NA,10,1,"10%","Technology","North Carolina","Durham","info"
"CyberOptics Corporation",NA,5,1,"20%","Technology","Minnesota","Minneapolis","info"
"Cypress Semiconductor Corporation",NA,8,0,"0%","Technology","California","San Jose","info"
"Demand Media Inc.",NA,7,0,"0%","Technology","California","Santa Monica","info"
"Diebold Inc.",NA,10,1,"10%","Technology","Ohio","North Canton","info"
