"firm","Board","WOB","Sector","State","City","Country","percentWOB"
"Avid Technology Inc.",8,4,"Technology","Massachusetts","Burlington","United States",50
"iRobot Corporation",8,4,"Technology","Massachusetts","Bedford","United States",50
"Xerox Corporation",9,4,"Technology","Connecticut","Norwalk","United States",44
"Yahoo! Inc.",9,4,"Technology","California","Sunnyvale","United States",44
"Travelzoo Inc.",7,3,"Technology","New York","New York","United States",43
"Texas Instruments, Inc.",12,5,"Technology","Texas","Dallas","United States",42
"Ixia",5,2,"Technology","California","Calabasas","United States",40
"Accenture PLC",13,5,"Technology","","Dublin","United States",38
"Unisys Corporation",8,3,"Technology","Pennsylvania","Blue Bell","United States",38
"The Aerospace Corporation",14,5,"Technology","California","El Segundo","United States",36
"Itron, Inc.",12,4,"Technology","Washington","Liberty Lake","United States",33
"MTS Systems Corporation",9,3,"Technology","Minnesota","Eden Prairie","United States",33
"Netgear, Inc.",9,3,"Technology","California","San Jose","United States",33
"PC Connection, Inc.",6,2,"Technology","New Hampshire","Merrimack","United States",33
"Rosetta Stone Inc.",9,3,"Technology","Virginia","Arlington","United States",33
"Symantec Corporation",9,3,"Technology","California","Mountain View","United States",33
"Autodesk, Inc.",10,3,"Technology","California","San Rafael","United States",30
"Harman International Industries Inc.",10,3,"Technology","Connecticut","Stamford","United States",30
"Ingram Micro Inc.",10,3,"Technology","California","Santa Ana","United States",30
"Twitter, Inc.",10,3,"Technology","California","San Francisco","United States",30
"Apple Inc.",7,2,"Technology","California","Cupertino","United States",29
"Athenahealth, Inc.",7,2,"Technology","Massachusetts","Watertown","United States",29
"Babcock & Wilcox Enterprises Inc",7,2,"Technology","North Carolina","Charlotte","United States",29
"CalAmp Corporation",7,2,"Technology","California","Oxnard","United States",29
"Care.com Inc.",7,2,"Technology","Massachusetts","Waltham","United States",29
"eMagin Corp",7,2,"Technology","New York","New York","United States",29
"Fitbit, Inc.",7,2,"Technology","California","San Francisco","United States",29
"Monotype Imaging Holdings Inc.",7,2,"Technology","Massachusetts","Woburn","United States",29
"Qualys, Inc.",7,2,"Technology","California","Redwood City","United States",29
"Super Micro Computer, Inc.",7,2,"Technology","California","San Jose","United States",29
"VeriSign, Inc.",7,2,"Technology","Virginia","Reston","United States",29
"Akamai Technologies, Inc.",11,3,"Technology","Massachusetts","Cambridge","United States",27
"Cisco Systems, Inc.",11,3,"Technology","California","San Jose","United States",27
"Google, Inc.",11,3,"Technology","California","Mountain View","United States",27
"Benchmark Electronics, Inc.",8,2,"Technology","Texas","Angleton","United States",25
"Harmonic Inc.",8,2,"Technology","California","San Jose","United States",25
"Hewlett-Packard Company",12,3,"Technology","California","Palo Alto","United States",25
"Imperva Inc.",8,2,"Technology","California","Redwood Shores","United States",25
"Marketo, Inc.",8,2,"Technology","California","San Mateo","United States",25
"MKS Instruments, Inc.",8,2,"Technology","Massachusetts","Andover","United States",25
"Polycom, Inc.",8,2,"Technology","California","San Jose","United States",25
"Silicon Graphics International Corporation",8,2,"Technology","California","Milpitas","United States",25
"Zynga, Inc.",8,2,"Technology","California","San Francisco","United States",25
"IAC/InterActiveCorp",13,3,"Technology","New York","New York","United States",23
"Arrow Electronics, Inc.",9,2,"Technology","Colorado","Centennial","United States",22
"Axcelis Technologies, Inc.",9,2,"Technology","Massachusetts","Beverly","United States",22
"Broadcom Corporation",9,2,"Technology","California","Irvine","United States",22
"Ciena Corporation",9,2,"Technology","Maryland","Hanover","United States",22
"F5 Networks, Inc.",9,2,"Technology","Washington","Seattle","United States",22
"Facebook, Inc.",9,2,"Technology","California","Menlo Park","United States",22
"Gartner, Inc.",9,2,"Technology","Connecticut","Stamford","United States",22
"Intuit Inc.",9,2,"Technology","California","Mountain View","United States",22
"NCR Corporation",9,2,"Technology","Georgia","Duluth","United States",22
"Netsuite Inc.",9,2,"Technology","California","San Mateo","United States",22
"Omnicell Inc.",9,2,"Technology","California","Mountain View","United States",22
"Rackspace Hosting, Inc.",9,2,"Technology","Texas","City of Windcrest","United States",22
"Sabre Corporation",9,2,"Technology","Texas","Southlake","United States",22
"Science Applications International Corporation",9,2,"Technology","Virginia","McLean","United States",22
"Splunk Inc.",9,2,"Technology","California","San Francisco","United States",22
"Western Digital Corporation",9,2,"Technology","California","Irvine","United States",22
"Yelp, Inc.",9,2,"Technology","California","San Francisco","United States",22
"Corning, Inc.",14,3,"Technology","New York","Corning","United States",21
"International Business Machines Corporation",14,3,"Technology","New York","Armonk","United States",21
"ARRIS Group Inc.",10,2,"Technology","Georgia","Suwanee","United States",20
"Avnet, Inc.",10,2,"Technology","Arizona","Phoenix","United States",20
"Brooks Automation, Inc.",10,2,"Technology","Massachusetts","Chelmsford","United States",20
"Concurrent Technologies Corporation",10,2,"Technology","Pennsylvania","Johnstown","United States",20
"CyberOptics Corporation",5,1,"Technology","Minnesota","Minneapolis","United States",20
"DTS Inc.",5,1,"Technology","California","Calabasas","United States",20
"Echelon Corporation",5,1,"Technology","California","San Jose","United States",20
